"id","block_proc","avg_liking","cond","category","cuetype","portion","mri_version","run"
23,"like_d5",38.1516666666667,"LowSmall","LowED","food","Small","1","4"
23,"like_f3",70.0433333333333,"OfficeSmall","Office","office","Small","1","2"
26,"like_a3",79.2966666666667,"HighLarge","HighED","food","Large","1","2"
26,"like_a5",93.2616666666667,"HighLarge","HighED","food","Large","1","4"
26,"like_c1",53.4716666666667,"LowLarge","LowED","food","Large","1","1"
26,"like_a4",92.8416666666667,"HighLarge","HighED","food","Large","1","3"
26,"like_a1",50.8416666666667,"HighLarge","HighED","food","Large","1","1"
26,"like_d2",92.315,"LowSmall","LowED","food","Small","1","5"
26,"like_c5",80.035,"LowLarge","LowED","food","Large","1","4"
26,"like_b4",74.9833333333333,"HighSmall","HighED","food","Small","1","3"
26,"like_e3",53.1583333333333,"OfficeLarge","Office","office","Large","1","2"
26,"like_f4",61.6816666666667,"OfficeSmall","Office","office","Small","1","3"
26,"like_c2",67.8233333333333,"LowLarge","LowED","food","Large","1","5"
26,"like_b1",83.1233333333333,"HighSmall","HighED","food","Small","1","1"
26,"like_b2",62.3516666666667,"HighSmall","HighED","food","Small","1","5"
26,"like_e4",63.4383333333333,"OfficeLarge","Office","office","Large","1","3"
26,"like_e1",69.8933333333333,"OfficeLarge","Office","office","Large","1","1"
26,"like_d4",67.65,"LowSmall","LowED","food","Small","1","3"
26,"like_a2",65.3,"HighLarge","HighED","food","Large","1","5"
26,"like_b3",60.14,"HighSmall","HighED","food","Small","1","2"
26,"like_d3",53.4383333333333,"LowSmall","LowED","food","Small","1","2"
26,"like_d1",75.0883333333333,"LowSmall","LowED","food","Small","1","1"
26,"like_c3",72.6683333333333,"LowLarge","LowED","food","Large","1","2"
26,"like_c4",68.7033333333333,"LowLarge","LowED","food","Large","1","3"
26,"like_f5",53.65,"OfficeSmall","Office","office","Small","1","4"
26,"like_e5",42.7033333333333,"OfficeLarge","Office","office","Large","1","4"
26,"like_b5",94.7366666666667,"HighSmall","HighED","food","Small","1","4"
26,"like_f3",42.2816666666667,"OfficeSmall","Office","office","Small","1","2"
26,"like_e2",58.7016666666667,"OfficeLarge","Office","office","Large","1","5"
26,"like_d5",66.7366666666667,"LowSmall","LowED","food","Small","1","4"
26,"like_f2",47.51,"OfficeSmall","Office","office","Small","1","5"
26,"like_f1",57.7183333333333,"OfficeSmall","Office","office","Small","1","1"
28,"like_a5",75.21,"HighLarge","HighED","food","Large","2","2"
28,"like_a1",50.42,"HighLarge","HighED","food","Large","2","5"
28,"like_a2",38.9233333333333,"HighLarge","HighED","food","Large","2","1"
28,"like_b2",51.475,"HighSmall","HighED","food","Small","2","1"
28,"like_a3",65.6466666666667,"HighLarge","HighED","food","Large","2","4"
28,"like_c1",48.8366666666667,"LowLarge","LowED","food","Large","2","5"
28,"like_b4",69.1983333333333,"HighSmall","HighED","food","Small","2","3"
28,"like_d2",56.61,"LowSmall","LowED","food","Small","2","1"
28,"like_a4",41.6666666666667,"HighLarge","HighED","food","Large","2","3"
28,"like_b1",42.7183333333333,"HighSmall","HighED","food","Small","2","5"
28,"like_e3",48.6266666666667,"OfficeLarge","Office","office","Large","2","4"
28,"like_f4",46.7633333333333,"OfficeSmall","Office","office","Small","2","3"
28,"like_e1",50.7733333333333,"OfficeLarge","Office","office","Large","2","5"
28,"like_c5",57.77,"LowLarge","LowED","food","Large","2","2"
28,"like_c3",50.0683333333333,"LowLarge","LowED","food","Large","2","4"
28,"like_e4",51.7216666666667,"OfficeLarge","Office","office","Large","2","3"
28,"like_d3",48.91,"LowSmall","LowED","food","Small","2","4"
28,"like_c2",40.645,"LowLarge","LowED","food","Large","2","1"
28,"like_b5",51.8266666666667,"HighSmall","HighED","food","Small","2","2"
28,"like_b3",36.1116666666667,"HighSmall","HighED","food","Small","2","4"
28,"like_f5",45.32,"OfficeSmall","Office","office","Small","2","2"
28,"like_e5",49.7816666666667,"OfficeLarge","Office","office","Large","2","2"
28,"like_d4",44.865,"LowSmall","LowED","food","Small","2","3"
28,"like_c4",44.795,"LowLarge","LowED","food","Large","2","3"
28,"like_e2",63.255,"OfficeLarge","Office","office","Large","2","1"
28,"like_d1",41.0666666666667,"LowSmall","LowED","food","Small","2","5"
28,"like_d5",52.005,"LowSmall","LowED","food","Small","2","2"
28,"like_f2",61.7083333333333,"OfficeSmall","Office","office","Small","2","1"
