sub	run	HighLarge	HighSmall	LowLarge	LowSmall	OfficeLarge	OfficeSmall
031	4.0	3.0	9.0	9.0	7.0	9.0	9.0
031	5.0	9.0	9.0	9.0	9.0	9.0	9.0
068	1.0	5.0	5.0	8.0	8.0	5.0	9.0
068	2.0	4.0	9.0	4.0	9.0	7.0	8.0
068	3.0	7.0	9.0	8.0	7.0	3.0	8.0
068	4.0	3.0	8.0	7.0	8.0	6.0	7.0
068	5.0	4.0	8.0	5.0	6.0	8.0	5.0
051	1.0	9.0	8.0	9.0	9.0	9.0	8.0
051	2.0	8.0	8.0	9.0	9.0	9.0	9.0
051	3.0	9.0	9.0	9.0	9.0	8.0	9.0
051	4.0	5.0	8.0	9.0	9.0	5.0	5.0
051	5.0	9.0	2.0	3.0	2.0	6.0	9.0
123	1.0	8.0	7.0	7.0	9.0	9.0	9.0
123	2.0	6.0	9.0	7.0	6.0	8.0	6.0
123	3.0	5.0	3.0	6.0	1.0	7.0	6.0
123	4.0	8.0	9.0	5.0	9.0	7.0	0.0
123	5.0	9.0	7.0	9.0	6.0	9.0	9.0
058	1.0	9.0	8.0	9.0	9.0	9.0	9.0
058	2.0	9.0	8.0	6.0	7.0	9.0	8.0
058	3.0	8.0	8.0	9.0	9.0	9.0	8.0
058	4.0	0.0	4.0	9.0	2.0	7.0	9.0
058	5.0	7.0	8.0	5.0	7.0	9.0	7.0
020	1.0	9.0	8.0	9.0	9.0	9.0	9.0
020	2.0	9.0	9.0	9.0	9.0	9.0	9.0
020	3.0	8.0	8.0	7.0	9.0	8.0	9.0
020	4.0	8.0	7.0	4.0	9.0	8.0	7.0
020	5.0	9.0	7.0	9.0	7.0	2.0	9.0
127	1.0	7.0	6.0	6.0	8.0	7.0	7.0
127	2.0	9.0	6.0	9.0	5.0	9.0	8.0
127	3.0	4.0	6.0	6.0	7.0	6.0	6.0
127	4.0	5.0	9.0	9.0	6.0	9.0	4.0
127	5.0	6.0	6.0	8.0	7.0	4.0	5.0
039	1.0	9.0	5.0	6.0	9.0	7.0	9.0
039	2.0	5.0	5.0	8.0	9.0	9.0	9.0
039	3.0	7.0	7.0	8.0	2.0	7.0	9.0
039	4.0	9.0	9.0	9.0	9.0	6.0	7.0
039	5.0	6.0	7.0	5.0	0.0	8.0	0.0
090	1.0	9.0	9.0	9.0	9.0	8.0	9.0
090	2.0	9.0	9.0	6.0	9.0	9.0	9.0
090	3.0	7.0	7.0	8.0	9.0	5.0	6.0
