sub	run	n_vol	n_censor	p_censor	n_vol_interest	n_censor_interest	p_censor_interest
054	2.0	78.0	0.0	0.0	54.0	0.0	0.0
054	3.0	78.0	11.0	14.1	54.0	6.0	11.1
054	4.0	78.0	9.0	11.5	54.0	5.0	9.3
054	5.0	78.0	7.0	9.0	54.0	5.0	9.3
047	1.0	78.0	8.0	10.3	54.0	5.0	9.3
047	2.0	78.0	6.0	7.7	54.0	4.0	7.4
047	3.0	78.0	4.0	5.1	54.0	3.0	5.6
047	4.0	78.0	6.0	7.7	54.0	4.0	7.4
047	5.0	78.0	0.0	0.0	54.0	0.0	0.0
130	1.0	78.0	26.0	33.3	54.0	19.0	35.2
130	2.0	78.0	65.0	83.3	54.0	44.0	81.5
130	3.0	78.0	39.0	50.0	54.0	27.0	50.0
130	4.0	78.0	59.0	75.6	54.0	42.0	77.8
121	1.0	78.0	0.0	0.0	54.0	0.0	0.0
121	2.0	78.0	0.0	0.0	54.0	0.0	0.0
121	3.0	78.0	0.0	0.0	54.0	0.0	0.0
121	4.0	78.0	0.0	0.0	54.0	0.0	0.0
121	5.0	78.0	0.0	0.0	54.0	0.0	0.0
109	1.0	78.0	0.0	0.0	54.0	0.0	0.0
109	2.0	78.0	7.0	9.0	54.0	6.0	11.1
109	3.0	78.0	5.0	6.4	54.0	3.0	5.6
109	4.0	78.0	0.0	0.0	54.0	0.0	0.0
109	5.0	78.0	0.0	0.0	54.0	0.0	0.0
036	1.0	78.0	0.0	0.0	54.0	0.0	0.0
036	2.0	78.0	0.0	0.0	54.0	0.0	0.0
036	3.0	78.0	0.0	0.0	54.0	0.0	0.0
036	4.0	78.0	1.0	1.3	54.0	0.0	0.0
036	5.0	78.0	1.0	1.3	54.0	1.0	1.9
132	1.0	78.0	0.0	0.0	54.0	0.0	0.0
132	2.0	78.0	1.0	1.3	54.0	0.0	0.0
132	3.0	78.0	0.0	0.0	54.0	0.0	0.0
132	4.0	78.0	3.0	3.8	54.0	0.0	0.0
132	5.0	78.0	0.0	0.0	54.0	0.0	0.0
128	1.0	78.0	2.0	2.6	54.0	2.0	3.7
128	2.0	78.0	2.0	2.6	54.0	1.0	1.9
